label,hour,dispatch,early_peak_hz,early_peak_t_s,settle_time_s,final_abs_hz,abs_mean_hz,max_abs_hz,freq_csv
h0d0,0,0,0.0181429564973978,3,0,0.009166003171388,0.0068765335632216375,0.0390998926889429,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d0_frequency.csv
h0d1,0,1,0.0548065397247743,2,138,0.0137310350624764,0.0071963913514805165,0.0548065397247743,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d1_frequency.csv
h0d2,0,2,0.171778254126278,2,18,0.0100858123965541,0.007839201182065568,0.171778254126278,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d2_frequency.csv
h0d3,0,3,0.1512682944911869,2,45,0.0005886941671073,0.008213785564630278,0.1512682944911869,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d3_frequency.csv
h1d0,1,0,0.1568921493240127,2,29,0.0136052075009729,0.008069982036923629,0.1568921493240127,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d0_frequency.csv
h1d1,1,1,0.099132362256884,2,24,0.0040873742078151,0.007642253430050757,0.099132362256884,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d1_frequency.csv
h1d2,1,2,0.0973305067950613,2,10,0.0034456514321101,0.007348519474254207,0.0973305067950613,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d2_frequency.csv
h1d3,1,3,0.0923839026759187,2,26,0.0008436938585698,0.00802533565217157,0.0923839026759187,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d3_frequency.csv
h2d0,2,0,0.1044673485240021,2,22,0.0044702525898676,0.007772365241487963,0.1044673485240021,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d0_frequency.csv
h2d1,2,1,0.0223314366979709,44,0,0.0023096623740626,0.007013225375699669,0.0392203839171179,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d1_frequency.csv
h2d2,2,2,0.0595976968251865,2,22,0.0067932669782777,0.006873996838117472,0.0595976968251865,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d2_frequency.csv
h2d3,2,3,0.1396425990411964,2,88,0.0073179268504453,0.007976702016021811,0.1396425990411964,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d3_frequency.csv
h3d0,3,0,0.160910374559593,2,31,0.0064982164456317,0.007719272487628118,0.160910374559593,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h3d0_frequency.csv
h3d1,3,1,0.0212680384472019,47,0,0.0021164168957965,0.00718959812312108,0.0306966845316414,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h3d1_frequency.csv
h3d2,3,2,0.2009064011555494,2,49,0.0028215617307525,0.007990932762705294,0.2009064011555494,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h3d2_frequency.csv
h3d3,3,3,0.0994231643580767,2,19,0.0064504014006283,0.007690372144928966,0.0994231643580767,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h3d3_frequency.csv
h4d0,4,0,0.0683368330188827,2,56,0.0091518877292262,0.007094460033344193,0.0683368330188827,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h4d0_frequency.csv
h4d1,4,1,0.0928361250021114,2,35,0.0015642061502463,0.0075780291440378554,0.0928361250021114,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h4d1_frequency.csv
h4d2,4,2,0.066486908857446,3,9,0.0119039939665155,0.007003962219778616,0.066486908857446,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h4d2_frequency.csv
h4d3,4,3,0.0723276472338163,3,32,0.0011935161692022,0.0077789869215671974,0.0723276472338163,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h4d3_frequency.csv
h5d0,5,0,0.0536476744398606,2,42,0.0048180569375633,0.006883790318079636,0.0536476744398606,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h5d0_frequency.csv
h5d1,5,1,0.0761130255755904,2,17,0.0016392656287989,0.007494763738527565,0.0761130255755904,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h5d1_frequency.csv
h5d2,5,2,0.1150015269932791,2,12,0.0096553460918724,0.007779001315163005,0.1150015269932791,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h5d2_frequency.csv
