hour,dispatch,label,success,error,dispatch_json,freq_csv,freq_png,dispatch_seconds,tds_seconds,total_seconds,init_mode_used,retry_note,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz
0,0,h0d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d0_frequency.csv,,,,,,,900,899.0,-0.0390998926889429,209.0,0.0283547230187286,396.0,0.009166003171388,0.0068765335632216375,0.008758937550685774
0,1,h0d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d1_frequency.csv,,,,,,,900,899.0,-0.0281929654410895,839.0,0.0548065397247743,2.0,-0.0137310350624764,0.0071963913514805165,0.009307214748947572
0,2,h0d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d2_frequency.csv,,,,,,,900,899.0,-0.0298583305533095,721.0,0.171778254126278,2.0,-0.0100858123965541,0.007839201182065568,0.013189173713578847
0,3,h0d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d3_frequency.csv,,,,,,,900,899.0,-0.0347346621705746,665.0,0.1512682944911869,2.0,0.0005886941671073,0.008213785564630278,0.013057350713356224
1,0,h1d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d0_frequency.csv,,,,,,,900,899.0,-0.0282928010207195,382.0,0.1568921493240127,2.0,0.0136052075009729,0.008069982036923629,0.012987062011778794
1,1,h1d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d1_frequency.csv,,,,,,,900,899.0,-0.099132362256884,2.0,0.0297315930363817,225.0,0.0040873742078151,0.007642253430050757,0.010732372694152547
1,2,h1d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d2_frequency.csv,,,,,,,900,899.0,-0.0973305067950613,2.0,0.0317546523192513,187.0,0.0034456514321101,0.007348519474254207,0.01011507552285406
1,3,h1d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h1d3_frequency.csv,,,,,,,900,899.0,-0.0307803975999321,591.0,0.0923839026759187,2.0,-0.0008436938585698,0.00802533565217157,0.010994453236022503
2,0,h2d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d0_frequency.csv,,,,,,,900,899.0,-0.0301731977999386,311.0,0.1044673485240021,2.0,0.0044702525898676,0.007772365241487963,0.011151512432768214
2,1,h2d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d1_frequency.csv,,,,,,,900,899.0,-0.0300608318680395,148.0,0.0392203839171179,100.0,-0.0023096623740626,0.007013225375699669,0.008764825782408378
