time_s,freq_dev_hz,variant,variant_label
0.0,0.0,carryover,"carry-over (bf=first, no target)"
1.0,-0.0094689540912185,carryover,"carry-over (bf=first, no target)"
2.0,-0.0099369407010363,carryover,"carry-over (bf=first, no target)"
3.0,0.0041057049931048,carryover,"carry-over (bf=first, no target)"
4.0,0.0036796737991151,carryover,"carry-over (bf=first, no target)"
5.0,0.0008420291528965,carryover,"carry-over (bf=first, no target)"
6.0,-0.0022476527474157,carryover,"carry-over (bf=first, no target)"
7.0,0.0064209377394242,carryover,"carry-over (bf=first, no target)"
8.0,-0.0086715800539338,carryover,"carry-over (bf=first, no target)"
9.0,-0.0219287216596475,carryover,"carry-over (bf=first, no target)"
10.0,-0.014252756932982,carryover,"carry-over (bf=first, no target)"
11.0,0.0112234549598211,carryover,"carry-over (bf=first, no target)"
12.0,0.0010460496797692,carryover,"carry-over (bf=first, no target)"
13.0,-0.0020931232631271,carryover,"carry-over (bf=first, no target)"
14.0,-0.0061794736825748,carryover,"carry-over (bf=first, no target)"
15.0,-0.0028564001811637,carryover,"carry-over (bf=first, no target)"
16.0,-0.0155711600851327,carryover,"carry-over (bf=first, no target)"
17.0,-0.0080974151414259,carryover,"carry-over (bf=first, no target)"
18.0,0.0054804883631032,carryover,"carry-over (bf=first, no target)"
19.0,0.0057640450649953,carryover,"carry-over (bf=first, no target)"
20.0,-0.0087590367419387,carryover,"carry-over (bf=first, no target)"
21.0,-0.0109492220307694,carryover,"carry-over (bf=first, no target)"
22.0,0.0028575474166769,carryover,"carry-over (bf=first, no target)"
23.0,0.0087125886913996,carryover,"carry-over (bf=first, no target)"
24.0,0.0014290703003227,carryover,"carry-over (bf=first, no target)"
25.0,-0.0017843568601416,carryover,"carry-over (bf=first, no target)"
26.0,0.0018797138219017,carryover,"carry-over (bf=first, no target)"
27.0,-0.0019538168196797,carryover,"carry-over (bf=first, no target)"
28.0,-0.0078751368279372,carryover,"carry-over (bf=first, no target)"
29.0,-0.0041696963760373,carryover,"carry-over (bf=first, no target)"
30.0,-0.0019110920641596,carryover,"carry-over (bf=first, no target)"
31.0,-0.0083054512845714,carryover,"carry-over (bf=first, no target)"
32.0,-0.009243385033486,carryover,"carry-over (bf=first, no target)"
33.0,-0.0077452685218082,carryover,"carry-over (bf=first, no target)"
34.0,-0.0073680835101774,carryover,"carry-over (bf=first, no target)"
35.0,-0.0064898268771851,carryover,"carry-over (bf=first, no target)"
36.0,-0.0116628856972389,carryover,"carry-over (bf=first, no target)"
37.0,-0.0139868053205827,carryover,"carry-over (bf=first, no target)"
38.0,-0.015165587569601,carryover,"carry-over (bf=first, no target)"
39.0,-0.0095540506592906,carryover,"carry-over (bf=first, no target)"
40.0,-3.43962110793683e-06,carryover,"carry-over (bf=first, no target)"
41.0,0.0105922241033828,carryover,"carry-over (bf=first, no target)"
42.0,0.0023558670458578,carryover,"carry-over (bf=first, no target)"
43.0,0.000916162635729,carryover,"carry-over (bf=first, no target)"
44.0,-0.0043771832183514,carryover,"carry-over (bf=first, no target)"
45.0,-0.017536385685386,carryover,"carry-over (bf=first, no target)"
46.0,0.0038007148590235,carryover,"carry-over (bf=first, no target)"
47.0,0.0041339972793785,carryover,"carry-over (bf=first, no target)"
48.0,-0.0005337755606316,carryover,"carry-over (bf=first, no target)"
49.0,-0.0123651782812261,carryover,"carry-over (bf=first, no target)"
50.0,-0.0044764594283908,carryover,"carry-over (bf=first, no target)"
51.0,-0.0024025218241385,carryover,"carry-over (bf=first, no target)"
52.0,-0.0063525700687128,carryover,"carry-over (bf=first, no target)"
53.0,-0.0089498942197807,carryover,"carry-over (bf=first, no target)"
54.0,-0.0055629734686357,carryover,"carry-over (bf=first, no target)"
55.0,-0.0025831518586483,carryover,"carry-over (bf=first, no target)"
56.0,-0.0091914986255092,carryover,"carry-over (bf=first, no target)"
57.0,-0.0032961791694696,carryover,"carry-over (bf=first, no target)"
58.0,-0.010766713374315,carryover,"carry-over (bf=first, no target)"
59.0,0.0017649851030565,carryover,"carry-over (bf=first, no target)"
60.0,0.0002391408106072,carryover,"carry-over (bf=first, no target)"
61.0,0.0100922947083281,carryover,"carry-over (bf=first, no target)"
62.0,-0.0018623459846001,carryover,"carry-over (bf=first, no target)"
63.0,0.0013960920532563,carryover,"carry-over (bf=first, no target)"
64.0,-0.0118299016455969,carryover,"carry-over (bf=first, no target)"
65.0,-0.0161855587503834,carryover,"carry-over (bf=first, no target)"
66.0,-0.0146022381902555,carryover,"carry-over (bf=first, no target)"
67.0,-0.0075241793444291,carryover,"carry-over (bf=first, no target)"
68.0,0.0040494060185292,carryover,"carry-over (bf=first, no target)"
69.0,0.003444410848914,carryover,"carry-over (bf=first, no target)"
70.0,-0.009649143183199,carryover,"carry-over (bf=first, no target)"
71.0,-0.0143619562135799,carryover,"carry-over (bf=first, no target)"
72.0,-0.0056521225311678,carryover,"carry-over (bf=first, no target)"
73.0,0.0073707186120808,carryover,"carry-over (bf=first, no target)"
74.0,-0.0121503846471071,carryover,"carry-over (bf=first, no target)"
75.0,-0.0038883462626704,carryover,"carry-over (bf=first, no target)"
76.0,-0.0056015570838452,carryover,"carry-over (bf=first, no target)"
77.0,-0.0173123802473806,carryover,"carry-over (bf=first, no target)"
78.0,-0.0007103782860284,carryover,"carry-over (bf=first, no target)"
79.0,-0.0032172203380298,carryover,"carry-over (bf=first, no target)"
80.0,-0.0030985028663566,carryover,"carry-over (bf=first, no target)"
81.0,0.0015599528973764,carryover,"carry-over (bf=first, no target)"
82.0,0.001555029126905,carryover,"carry-over (bf=first, no target)"
83.0,0.0075061890751015,carryover,"carry-over (bf=first, no target)"
84.0,-0.0138670469814705,carryover,"carry-over (bf=first, no target)"
85.0,-0.0016580793892884,carryover,"carry-over (bf=first, no target)"
86.0,-0.0016575249078409,carryover,"carry-over (bf=first, no target)"
87.0,-0.0118660886581234,carryover,"carry-over (bf=first, no target)"
88.0,-0.0116288430723132,carryover,"carry-over (bf=first, no target)"
89.0,0.0020299862189077,carryover,"carry-over (bf=first, no target)"
90.0,-0.0114507951742348,carryover,"carry-over (bf=first, no target)"
91.0,-0.0197153839675023,carryover,"carry-over (bf=first, no target)"
92.0,-0.0095840639119271,carryover,"carry-over (bf=first, no target)"
93.0,0.0126969738696436,carryover,"carry-over (bf=first, no target)"
94.0,0.0106999954955533,carryover,"carry-over (bf=first, no target)"
95.0,0.0056765291157212,carryover,"carry-over (bf=first, no target)"
96.0,-0.0044911814029235,carryover,"carry-over (bf=first, no target)"
97.0,-0.0109561501616517,carryover,"carry-over (bf=first, no target)"
98.0,-0.0083236044560575,carryover,"carry-over (bf=first, no target)"
99.0,-0.0046856677687823,carryover,"carry-over (bf=first, no target)"
100.0,-0.0045427173607914,carryover,"carry-over (bf=first, no target)"
101.0,0.0002490814429378,carryover,"carry-over (bf=first, no target)"
102.0,-0.0012424273315025,carryover,"carry-over (bf=first, no target)"
103.0,-2.1840634008007953e-05,carryover,"carry-over (bf=first, no target)"
104.0,-0.0216177624962554,carryover,"carry-over (bf=first, no target)"
105.0,-0.0226331735166018,carryover,"carry-over (bf=first, no target)"
106.0,-0.0090694511646782,carryover,"carry-over (bf=first, no target)"
107.0,-0.0049849473712759,carryover,"carry-over (bf=first, no target)"
108.0,0.0028260170362104,carryover,"carry-over (bf=first, no target)"
109.0,0.0026838347641078,carryover,"carry-over (bf=first, no target)"
110.0,0.0067902269012476,carryover,"carry-over (bf=first, no target)"
111.0,0.0036313194946346,carryover,"carry-over (bf=first, no target)"
112.0,-0.002306686234974,carryover,"carry-over (bf=first, no target)"
113.0,0.0028089077880855,carryover,"carry-over (bf=first, no target)"
114.0,0.0113362462107335,carryover,"carry-over (bf=first, no target)"
115.0,0.0010332785484967,carryover,"carry-over (bf=first, no target)"
116.0,-0.0111700889565047,carryover,"carry-over (bf=first, no target)"
117.0,-0.0050182294255884,carryover,"carry-over (bf=first, no target)"
118.0,-0.0017939560438162,carryover,"carry-over (bf=first, no target)"
119.0,-0.0119499355716423,carryover,"carry-over (bf=first, no target)"
120.0,-0.0002178524185647,carryover,"carry-over (bf=first, no target)"
121.0,-0.0009865325923308,carryover,"carry-over (bf=first, no target)"
122.0,-0.0058978503947648,carryover,"carry-over (bf=first, no target)"
123.0,-0.0090573370925528,carryover,"carry-over (bf=first, no target)"
124.0,0.0025206524171528,carryover,"carry-over (bf=first, no target)"
125.0,-0.001036247630457,carryover,"carry-over (bf=first, no target)"
126.0,-0.0023698212942546,carryover,"carry-over (bf=first, no target)"
127.0,-0.0112185389225638,carryover,"carry-over (bf=first, no target)"
128.0,-0.0082857389369372,carryover,"carry-over (bf=first, no target)"
129.0,-0.010817257749307,carryover,"carry-over (bf=first, no target)"
130.0,-0.0163324216455018,carryover,"carry-over (bf=first, no target)"
131.0,-0.0196990056585666,carryover,"carry-over (bf=first, no target)"
132.0,0.0049997065453455,carryover,"carry-over (bf=first, no target)"
133.0,0.0240399701711169,carryover,"carry-over (bf=first, no target)"
134.0,0.0080629642161333,carryover,"carry-over (bf=first, no target)"
135.0,-0.0070438806044959,carryover,"carry-over (bf=first, no target)"
136.0,-0.0185001162282283,carryover,"carry-over (bf=first, no target)"
137.0,-0.0093606369487497,carryover,"carry-over (bf=first, no target)"
138.0,-0.0065824682880011,carryover,"carry-over (bf=first, no target)"
139.0,-0.0117604983756991,carryover,"carry-over (bf=first, no target)"
140.0,-0.0109374000047846,carryover,"carry-over (bf=first, no target)"
141.0,0.0116535962953845,carryover,"carry-over (bf=first, no target)"
142.0,0.0118913358993477,carryover,"carry-over (bf=first, no target)"
143.0,0.0029852054335277,carryover,"carry-over (bf=first, no target)"
144.0,-0.0073220423271713,carryover,"carry-over (bf=first, no target)"
145.0,-0.0109470630777264,carryover,"carry-over (bf=first, no target)"
146.0,-0.0088134959352004,carryover,"carry-over (bf=first, no target)"
147.0,-0.0101419100560717,carryover,"carry-over (bf=first, no target)"
